,Postcode,Borough,Neighbourhood
4,M5A,Downtown Toronto,Harbourfront
5,M5A,Downtown Toronto,Regent Park
6,M6A,North York,Lawrence Heights
7,M6A,North York,Lawrence Manor
11,M1B,Scarborough,Rouge
12,M1B,Scarborough,Malvern
15,M4B,East York,Woodbine Gardens
16,M4B,East York,Parkview Hill
17,M5B,Downtown Toronto,Ryerson
18,M5B,Downtown Toronto,Garden District
22,M9B,Etobicoke,Cloverdale
23,M9B,Etobicoke,Islington
24,M9B,Etobicoke,Martin Grove
25,M9B,Etobicoke,Princess Gardens
26,M9B,Etobicoke,West Deane Park
27,M1C,Scarborough,Highland Creek
28,M1C,Scarborough,Rouge Hill
29,M1C,Scarborough,Port Union
31,M3C,North York,Flemingdon Park
32,M3C,North York,Don Mills South
38,M9C,Etobicoke,Bloordale Gardens
39,M9C,Etobicoke,Eringate
40,M9C,Etobicoke,Markland Wood
41,M9C,Etobicoke,Old Burnhamthorpe
42,M1E,Scarborough,Guildwood
43,M1E,Scarborough,Morningside
44,M1E,Scarborough,West Hill
64,M3H,North York,Bathurst Manor
65,M3H,North York,Downsview North
66,M3H,North York,Wilson Heights
68,M5H,Downtown Toronto,Adelaide
69,M5H,Downtown Toronto,King
70,M5H,Downtown Toronto,Richmond
71,M6H,West Toronto,Dovercourt Village
72,M6H,West Toronto,Dufferin
77,M2J,North York,Fairview
78,M2J,North York,Henry Farm
79,M2J,North York,Oriole
80,M3J,North York,Northwood Park
81,M3J,North York,York University
83,M5J,Downtown Toronto,Harbourfront East
84,M5J,Downtown Toronto,Toronto Islands
85,M5J,Downtown Toronto,Union Station
86,M6J,West Toronto,Little Portugal
87,M6J,West Toronto,Trinity
91,M1K,Scarborough,East Birchmount Park
92,M1K,Scarborough,Ionview
93,M1K,Scarborough,Kennedy Park
95,M3K,North York,CFB Toronto
96,M3K,North York,Downsview East
97,M4K,East Toronto,The Danforth West
98,M4K,East Toronto,Riverdale
99,M5K,Downtown Toronto,Design Exchange
100,M5K,Downtown Toronto,Toronto Dominion Centre
101,M6K,West Toronto,Brockton
102,M6K,West Toronto,Exhibition Place
103,M6K,West Toronto,Parkdale Village
107,M1L,Scarborough,Clairlea
108,M1L,Scarborough,Golden Mile
109,M1L,Scarborough,Oakridge
110,M2L,North York,Silver Hills
111,M2L,North York,York Mills
113,M4L,East Toronto,The Beaches West
114,M4L,East Toronto,India Bazaar
115,M5L,Downtown Toronto,Commerce Court
116,M5L,Downtown Toronto,Victoria Hotel
117,M6L,North York,Downsview
118,M6L,North York,North Park
119,M6L,North York,Upwood Park
123,M1M,Scarborough,Cliffcrest
124,M1M,Scarborough,Cliffside
125,M1M,Scarborough,Scarborough Village West
126,M2M,North York,Newtonbrook
127,M2M,North York,Willowdale
130,M5M,North York,Bedford Park
131,M5M,North York,Lawrence Manor East
132,M6M,York,Del Ray
133,M6M,York,Keelesdale
134,M6M,York,Mount Dennis
135,M6M,York,Silverthorn
138,M9M,North York,Emery
139,M9M,North York,Humberlea
140,M1N,Scarborough,Birch Cliff
141,M1N,Scarborough,Cliffside West
146,M6N,York,The Junction North
147,M6N,York,Runnymede
151,M1P,Scarborough,Dorset Park
152,M1P,Scarborough,Scarborough Town Centre
153,M1P,Scarborough,Wexford Heights
157,M5P,Central Toronto,Forest Hill North
158,M5P,Central Toronto,Forest Hill West
159,M6P,West Toronto,High Park
160,M6P,West Toronto,The Junction South
164,M1R,Scarborough,Maryvale
165,M1R,Scarborough,Wexford
169,M5R,Central Toronto,The Annex
170,M5R,Central Toronto,North Midtown
171,M5R,Central Toronto,Yorkville
172,M6R,West Toronto,Parkdale
173,M6R,West Toronto,Roncesvalles
176,M9R,Etobicoke,Kingsview Village
177,M9R,Etobicoke,Martin Grove Gardens
178,M9R,Etobicoke,Richview Gardens
179,M9R,Etobicoke,St. Phillips
184,M5S,Downtown Toronto,Harbord
185,M5S,Downtown Toronto,University of Toronto
186,M6S,West Toronto,Runnymede
187,M6S,West Toronto,Swansea
191,M1T,Scarborough,Clarks Corners
192,M1T,Scarborough,Sullivan
193,M1T,Scarborough,Tam O'Shanter
196,M4T,Central Toronto,Moore Park
197,M4T,Central Toronto,Summerhill East
198,M5T,Downtown Toronto,Chinatown
199,M5T,Downtown Toronto,Grange Park
200,M5T,Downtown Toronto,Kensington Market
205,M1V,Scarborough,Agincourt North
206,M1V,Scarborough,L'Amoreaux East
207,M1V,Scarborough,Milliken
208,M1V,Scarborough,Steeles East
211,M4V,Central Toronto,Deer Park
212,M4V,Central Toronto,Forest Hill SE
213,M4V,Central Toronto,Rathnelly
214,M4V,Central Toronto,South Hill
215,M4V,Central Toronto,Summerhill West
216,M5V,Downtown Toronto,CN Tower
217,M5V,Downtown Toronto,Bathurst Quay
218,M5V,Downtown Toronto,Island airport
219,M5V,Downtown Toronto,Harbourfront West
220,M5V,Downtown Toronto,King and Spadina
221,M5V,Downtown Toronto,Railway Lands
222,M5V,Downtown Toronto,South Niagara
225,M8V,Etobicoke,Humber Bay Shores
226,M8V,Etobicoke,Mimico South
227,M8V,Etobicoke,New Toronto
228,M9V,Etobicoke,Albion Gardens
229,M9V,Etobicoke,Beaumond Heights
230,M9V,Etobicoke,Humbergate
231,M9V,Etobicoke,Jamestown
232,M9V,Etobicoke,Mount Olive
233,M9V,Etobicoke,Silverstone
234,M9V,Etobicoke,South Steeles
235,M9V,Etobicoke,Thistletown
243,M8W,Etobicoke,Alderwood
244,M8W,Etobicoke,Long Branch
249,M4X,Downtown Toronto,Cabbagetown
250,M4X,Downtown Toronto,St. James Town
251,M5X,Downtown Toronto,First Canadian Place
252,M5X,Downtown Toronto,Underground city
255,M8X,Etobicoke,The Kingsway
256,M8X,Etobicoke,Montgomery Road
257,M8X,Etobicoke,Old Mill North
266,M8Y,Etobicoke,Humber Bay
267,M8Y,Etobicoke,King's Mill Park
268,M8Y,Etobicoke,Kingsway Park South East
269,M8Y,Etobicoke,Mimico NE
270,M8Y,Etobicoke,Old Mill South
271,M8Y,Etobicoke,The Queensway East
272,M8Y,Etobicoke,Royal York South East
273,M8Y,Etobicoke,Sunnylea
282,M8Z,Etobicoke,Kingsway Park South West
283,M8Z,Etobicoke,Mimico NW
284,M8Z,Etobicoke,The Queensway West
285,M8Z,Etobicoke,Royal York South West
286,M8Z,Etobicoke,South of Bloor
